FIPS_final,Name_final,group,superclus2,sample,count,unemployed,lastworked_pastyr,male,age25,agemed,age75,a2534,a3544,a4554,a5564,whiteNH,blackNH,latino,asianNH,otherNH,insch,lths,hs,sc,aa,baplus,dis,fb,lep,married,children,nospouse_kids,snap,fincpadj
6013c,"Contra Costa County, CA",2,1,670,28642.73297352729,.25120127,.21841036,.36161593,42,50,56,0,.33126438,.3562454,.31249022,.32428282,.10747115,.43143004,.1138954,.022920566,.0030048266,.4885076,.51149243,0,0,0,.19579415,.50796103,.43886989,.56781369,.29566804,.084131375,.21061407,47052.4881295033
6013c,"Contra Costa County, CA",3,6,234,7283.198864811868,.18471913,.23371096,.34661573,57,59,62,0,0,0,1,.65252966,.053990945,.05933249,.20018807,.033958808,0,0,0,0,0,1,.099082999,.32791868,.12763909,.71242577,.028336998,.0067297062,.043473173,113889.5736642226
6013c,"Contra Costa County, CA",4,4,198,6352.493131302228,.20420755,.25545698,.35555944,56,59,62,0,0,0,1,.57523561,.10519563,.096835688,.16900349,.053729571,.012208136,0,0,.70672482,.29327515,0,.16915844,.25616008,.12441462,.60818166,.038614225,.009093455,.11016309,87134.23727685797
6013c,"Contra Costa County, CA",5,5,436,17559.95129125402,.46892011,.32117987,.38197967,32,40,49,.33974454,.27227652,.38797894,0,.40625,.12358969,.25626305,.1164993,.097397976,.047564209,0,0,.81201631,.18798369,0,.15458222,.26870742,.14008245,.46680105,.36775833,.13806309,.2257278,50481.09882421769
6013c,"Contra Costa County, CA",6,7,369,14399.67023504332,.41083622,.37462434,.35342956,32,42,50,.3305873,.2351964,.43421632,0,.53887188,.071415007,.084920056,.27121565,.033577427,.022277329,0,0,0,0,1,.062031727,.34225512,.15340912,.59332234,.38324815,.094472699,.074608982,87009.8416
6019c,"Fresno County, CA",ALL,,2541,95288.96456725143,.3335408,.26873136,.35462624,32,41,52,.33475137,.23800696,.22877944,.19846223,.23861459,.053164884,.56045395,.1204055,.027361045,.027479094,.38502717,.28252223,.19385554,.05318296,.085412085,.17682838,.4238869,.35427767,.49780464,.40569225,.1492793,.43701857,30288.65929453062
6019c,"Fresno County, CA",1,3,563,23712.23184553512,.4055407,.36210123,.37372798,27,30,33,.87862659,.068594277,.052779138,0,.12672937,.039860245,.70102,.1009601,.031430267,.011163805,.47442365,.52557635,0,0,0,.13083696,.39706987,.31506965,.34387958,.50846148,.24413775,.58438301,25240.54941210885
6019c,"Fresno County, CA",2,1,1086,39897.86099858757,.24697174,.19043599,.32114479,41,48,56,0,.36902913,.34106466,.2899062,.1705121,.031028468,.66142863,.12043392,.016596904,.011444406,.63760805,.36239195,0,0,0,.20047463,.60493582,.55752152,.59493595,.40866929,.11523381,.42089823,29077.11292274939
6019c,"Fresno County, CA",3,7,151,5608.007493741684,.39706713,.28896695,.3854596,30,38,47,.40740284,.24118863,.35140851,0,.4186314,.044446249,.22900383,.25619444,.051724061,.0087668998,0,0,0,0,1,.15177466,.40394425,.1448219,.61269885,.36545733,.056691699,.24850413,46129.89032304245
6019c,"Fresno County, CA",4,6,84,2530.821636236079,.19956253,.38330767,.43311852,59,61,62,0,0,0,1,.55331707,.11895795,.07088463,.24205317,.014787179,0,0,0,0,0,1,.15683733,.19447874,.14191476,.65573311,.0091263605,0,.12584053,90159.2425000528
6019c,"Fresno County, CA",5,5,499,18797.02512030438,.47543737,.3191193,.36856461,29,35,45,.4670524,.26476815,.26343843,.00474102,.34227934,.11284617,.41110229,.091615848,.042156339,.096644551,0,0,.79772049,.20227949,0,.17220719,.16808902,.12334889,.39070421,.42524275,.18601543,.44220537,33041.712
6019c,"Fresno County, CA",6,4,158,4743.017472846673,.13582431,.17579727,.40719399,57,59,61,0,0,.0038653312,.9961347,.57924408,.044569392,.25333905,.10601512,.016832396,.0066062026,0,0,.7331875,.26681253,0,.26645169,.19472791,.11678525,.65460926,.048560865,.0049698707,.20426726,48060.672
6029c,"Kern County, CA",ALL,,2035,81748.84618751846,.30548197,.25821981,.32013345,32,43,53,.30733401,.22740993,.24380335,.22145271,.34348789,.045537945,.54213625,.048935845,.01990205,.011885198,.36126116,.31949323,.2021206,.047567517,.069557481,.14738128,.38845089,.3132658,.56301641,.40618861,.13207251,.3457858,34327.14720046803
6029c,"Kern County, CA",1,6,139,4852.688736620947,.32778782,.24257693,.25317916,35,43,54,.24244282,.28847358,.27037406,.19870955,.57703489,.01064506,.25153145,.11559417,.04519444,.0068003535,0,0,0,0,1,.093574189,.25185236,.15110369,.61340833,.28822801,.070686646,.12193853,46129.89032304245
