FIPS_final,Name_final,stpuma,cbsa,metro_name,pct_supercluster1,pct_supercluster2,pct_supercluster3,pct_supercluster4,pct_supercluster5,pct_supercluster6,pct_supercluster7,pct_cluster1,pct_cluster2,pct_cluster3,pct_cluster4,pct_cluster5,pct_cluster6,pct_cluster7,pct_cluster8,pct_cluster9
12086c,"Miami-Dade County, FL",1208624,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.048937786,,.072058827,.036798529,.062827222,.018027572,.011111111,.036798529,.018027572,.049327355,.047694754,.062827222,.011111111,.072058827,,
12095c,"Orange County, FL",1209501,36740,"Orlando-Kissimmee-Sanford, FL",.13028765,,.13559322,.096916303,.11675127,.057692308,.060869563,.096916303,.11675127,.057692308,.060869563,.13559322,.13028765,,,
12095c,"Orange County, FL",1209502,36740,"Orlando-Kissimmee-Sanford, FL",.099830799,,.084745765,.11894273,.05076142,.13461539,.034782607,.11894273,.05076142,.13461539,.034782607,.084745765,.099830799,,,
12095c,"Orange County, FL",1209503,36740,"Orlando-Kissimmee-Sanford, FL",.054145515,,.046004843,.10792951,.086294413,.18990384,.13913043,.10792951,.086294413,.18990384,.13913043,.046004843,.054145515,,,
12095c,"Orange County, FL",1209504,36740,"Orlando-Kissimmee-Sanford, FL",.13705584,,.18159807,.070484579,.13705584,.098557696,.09565217,.070484579,.13705584,.098557696,.09565217,.18159807,.13705584,,,
12095c,"Orange County, FL",1209505,36740,"Orlando-Kissimmee-Sanford, FL",.15228426,,.10411622,.12334802,.14213198,.07692308,.078260869,.12334802,.14213198,.07692308,.078260869,.10411622,.15228426,,,
12095c,"Orange County, FL",1209506,36740,"Orlando-Kissimmee-Sanford, FL",.12182741,,.12832929,.099118941,.12690355,.048076924,.11304348,.099118941,.12690355,.048076924,.11304348,.12832929,.12182741,,,
12095c,"Orange County, FL",1209507,36740,"Orlando-Kissimmee-Sanford, FL",.087986462,,.094430991,.090308368,.0964467,.16346154,.12173913,.090308368,.0964467,.16346154,.12173913,.094430991,.087986462,,,
12095c,"Orange County, FL",1209508,36740,"Orlando-Kissimmee-Sanford, FL",.081218272,,.096852303,.11453745,.10659899,.07692308,.14782609,.11453745,.10659899,.07692308,.14782609,.096852303,.081218272,,,
12095c,"Orange County, FL",1209509,36740,"Orlando-Kissimmee-Sanford, FL",.081218272,,.089588381,.10792951,.086294413,.10576923,.086956523,.10792951,.086294413,.10576923,.086956523,.089588381,.081218272,,,
12095c,"Orange County, FL",1209510,36740,"Orlando-Kissimmee-Sanford, FL",.054145515,,.038740922,.070484579,.05076142,.048076924,.12173913,.070484579,.05076142,.048076924,.12173913,.038740922,.054145515,,,
12099c,"Palm Beach County, FL",1209901,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",.040172167,.052980132,.045180723,.085672081,.063953489,.087811269,.063829787,.087811269,.040172167,.052980132,.085672081,.063953489,.045180723,.063829787,,
